        #height (Mm)       gravity (cm/s^2)          dP/dz                         density (g/cm^3)        dRho/dz                sound speed (cm/s)
        -12.02499962     -28370.39648438     -3.03111229E+01      1.07102923E-03     -1.81464251E-12        4.091301E+06
        -12.00000000     -28368.32617188     -3.01841888E+01      1.06649660E-03     -1.81184484E-12        4.086513E+06
        -11.97500038     -28366.25390625     -3.00613155E+01      1.06197002E-03     -1.80911731E-12        4.081721E+06
        -11.94999981     -28364.18359375     -2.99423313E+01      1.05745113E-03     -1.80625989E-12        4.076922E+06
        -11.92500019     -28362.11132812     -2.98021755E+01      1.05293875E-03     -1.80256884E-12        4.072117E+06
        -11.89999962     -28360.04101562     -2.96580601E+01      1.04843825E-03     -1.79786372E-12        4.067308E+06
        -11.87500000     -28357.97070312     -2.95346584E+01      1.04394951E-03     -1.79404928E-12        4.062495E+06
        -11.85000038     -28355.90039062     -2.94110279E+01      1.03946798E-03     -1.79090770E-12        4.057671E+06
        -11.82499981     -28353.83007812     -2.92912197E+01      1.03499496E-03     -1.78813637E-12        4.052839E+06
        -11.80000019     -28351.75976562     -2.91751213E+01      1.03052740E-03     -1.78523353E-12        4.047994E+06
        -11.77499962     -28349.69140625     -2.90386410E+01      1.02606881E-03     -1.78191316E-12        4.043138E+06
        -11.75000000     -28347.62109375     -2.88824139E+01      1.02161779E-03     -1.77681394E-12        4.038271E+06
        -11.72500038     -28345.55078125     -2.87504196E+01      1.01718470E-03     -1.77162592E-12        4.033401E+06
        -11.69999981     -28343.48242188     -2.86496372E+01      1.01275975E-03     -1.76913454E-12        4.028522E+06
        -11.67500019     -28341.41406250     -2.85364819E+01      1.00833911E-03     -1.76727838E-12        4.023632E+06
        -11.64999962     -28339.34570312     -2.83958969E+01      1.00392336E-03     -1.76375169E-12        4.018735E+06
        -11.62500000     -28337.27734375     -2.82478428E+01      9.99520300E-04     -1.75916161E-12        4.013834E+06
        -11.60000038     -28335.20898438     -2.81039696E+01      9.95127601E-04     -1.75408776E-12        4.008929E+06
        -11.57499981     -28333.14062500     -2.79754944E+01      9.90749919E-04     -1.74863899E-12        4.004023E+06
        -11.55000019     -28331.07421875     -2.78844967E+01      9.86384344E-04     -1.74638993E-12        3.999111E+06
        -11.52499962     -28329.00781250     -2.77888031E+01      9.82017955E-04     -1.74596416E-12        3.994180E+06
        -11.50000000     -28326.93945312     -2.76442547E+01      9.77654592E-04     -1.74258850E-12        3.989230E+06
        -11.47500038     -28324.87304688     -2.74964657E+01      9.73305025E-04     -1.73641375E-12        3.984275E+06
        -11.44999981     -28322.80468750     -2.73745327E+01      9.68972512E-04     -1.73164131E-12        3.979314E+06
        -11.42500019     -28320.73828125     -2.72559872E+01      9.64646868E-04     -1.72915480E-12        3.974339E+06
        -11.39999962     -28318.67187500     -2.71192284E+01      9.60326754E-04     -1.72534903E-12        3.969346E+06
        -11.37500000     -28316.60546875     -2.69862614E+01      9.56020085E-04     -1.72007330E-12        3.964347E+06
        -11.35000038     -28314.53906250     -2.68817501E+01      9.51726397E-04     -1.71697693E-12        3.959344E+06
        -11.32499981     -28312.47265625     -2.67871494E+01      9.47435270E-04     -1.71610241E-12        3.954326E+06
        -11.30000019     -28310.40820312     -2.66603317E+01      9.43145948E-04     -1.71337001E-12        3.949291E+06
        -11.27499962     -28308.34375000     -2.65093079E+01      9.38868441E-04     -1.70774820E-12        3.944248E+06
        -11.25000000     -28306.27929688     -2.63725700E+01      9.34607175E-04     -1.70240373E-12        3.939205E+06
        -11.22500038     -28304.21289062     -2.62530708E+01      9.30356444E-04     -1.69883107E-12        3.934150E+06
        -11.19999981     -28302.14843750     -2.61605625E+01      9.26113047E-04     -1.69655848E-12        3.929081E+06
        -11.17500019     -28300.08398438     -2.60638275E+01      9.21873667E-04     -1.69485866E-12        3.923993E+06
        -11.14999962     -28298.01953125     -2.59262791E+01      9.17638827E-04     -1.69188611E-12        3.918884E+06
        -11.12500000     -28295.95507812     -2.57724438E+01      9.13414231E-04     -1.68618765E-12        3.913762E+06
        -11.10000038     -28293.89257812     -2.56456013E+01      9.09207854E-04     -1.68102381E-12        3.908632E+06
        -11.07499981     -28291.83007812     -2.55383358E+01      9.05009161E-04     -1.67809419E-12        3.903486E+06
        -11.05000019     -28289.76757812     -2.54241161E+01      9.00817395E-04     -1.67539030E-12        3.898323E+06
        -11.02499962     -28287.70312500     -2.53032074E+01      8.96632206E-04     -1.67239497E-12        3.893144E+06
        -11.00000000     -28285.64062500     -2.51725845E+01      8.92455457E-04     -1.66877493E-12        3.887950E+06
        -10.97500038     -28283.57812500     -2.50453110E+01      8.88288370E-04     -1.66420220E-12        3.882744E+06
        -10.94999981     -28281.51562500     -2.49401417E+01      8.84134439E-04     -1.66063571E-12        3.877528E+06
        -10.92500019     -28279.45312500     -2.48344536E+01      8.79985222E-04     -1.65854917E-12        3.872292E+06
        -10.89999962     -28277.39062500     -2.47159309E+01      8.75841710E-04     -1.65566768E-12        3.867038E+06
        -10.87500000     -28275.33007812     -2.45942001E+01      8.71706929E-04     -1.65192502E-12        3.861769E+06
        -10.85000038     -28273.26757812     -2.44724312E+01      8.67582101E-04     -1.64807957E-12        3.856486E+06
        -10.82499981     -28271.20507812     -2.43506050E+01      8.63466528E-04     -1.64437897E-12        3.851190E+06
        -10.80000019     -28269.14453125     -2.42317352E+01      8.59360211E-04     -1.64049275E-12        3.845879E+06
        -10.77499962     -28267.08398438     -2.41127567E+01      8.55264079E-04     -1.63683303E-12        3.840557E+06
        -10.75000000     -28265.02343750     -2.39907284E+01      8.51176097E-04     -1.63347406E-12        3.835221E+06
        -10.72500038     -28262.96289062     -2.38804379E+01      8.47096730E-04     -1.63033107E-12        3.829878E+06
        -10.69999981     -28260.90234375     -2.37727699E+01      8.43024463E-04     -1.62755844E-12        3.824522E+06
        -10.67500019     -28258.84179688     -2.36473141E+01      8.38958949E-04     -1.62491006E-12        3.819151E+06
        -10.64999962     -28256.78125000     -2.35133896E+01      8.34899954E-04     -1.62007419E-12        3.813766E+06
        -10.62500000     -28254.72265625     -2.34026413E+01      8.30858597E-04     -1.61540171E-12        3.808378E+06
        -10.60000038     -28252.66406250     -2.33141327E+01      8.26823001E-04     -1.61433681E-12        3.802971E+06
        -10.57499981     -28250.60351562     -2.31995201E+01      8.22786940E-04     -1.61257683E-12        3.797536E+06
        -10.55000019     -28248.54492188     -2.30570316E+01      8.18760134E-04     -1.60718346E-12        3.792084E+06
        -10.52499962     -28246.48632812     -2.29316730E+01      8.14751023E-04     -1.60180018E-12        3.786627E+06
        -10.50000000     -28244.42773438     -2.28310299E+01      8.10751109E-04     -1.59911667E-12        3.781148E+06
        -10.47500038     -28242.37109375     -2.27353439E+01      8.06755503E-04     -1.59708314E-12        3.775644E+06
        -10.44999981     -28240.31250000     -2.26282673E+01      8.02765775E-04     -1.59477358E-12        3.770116E+06
        -10.42500019     -28238.25195312     -2.25102158E+01      7.98781635E-04     -1.59150568E-12        3.764568E+06
        -10.39999962     -28236.19531250     -2.23867931E+01      7.94808206E-04     -1.58760624E-12        3.759008E+06
        -10.37500000     -28234.13671875     -2.22660999E+01      7.90843624E-04     -1.58368436E-12        3.753435E+06
        -10.35000038     -28232.08007812     -2.21480694E+01      7.86889810E-04     -1.58019442E-12        3.747850E+06
        -10.32499981     -28230.02343750     -2.20377998E+01      7.82942690E-04     -1.57689725E-12        3.742248E+06
        -10.30000019     -28227.96679688     -2.19401913E+01      7.79005350E-04     -1.57409339E-12        3.736630E+06
        -10.27499962     -28225.91015625     -2.18369160E+01      7.75072258E-04     -1.57213327E-12        3.730990E+06
        -10.25000000     -28223.85351562     -2.17155647E+01      7.71144754E-04     -1.56909414E-12        3.725328E+06
        -10.22500038     -28221.79687500     -2.15893383E+01      7.67226855E-04     -1.56456109E-12        3.719650E+06
        -10.19999981     -28219.74023438     -2.14807434E+01      7.63321936E-04     -1.56052894E-12        3.713959E+06
        -10.17500019     -28217.68554688     -2.13768044E+01      7.59424234E-04     -1.55784760E-12        3.708246E+06
        -10.14999962     -28215.63085938     -2.12578812E+01      7.55532703E-04     -1.55433186E-12        3.702512E+06
        -10.12500000     -28213.57617188     -2.11390305E+01      7.51652580E-04     -1.55079378E-12        3.696767E+06
        -10.10000038     -28211.51953125     -2.10370865E+01      7.47778802E-04     -1.54793615E-12        3.691004E+06
        -10.07499981     -28209.46484375     -2.09419346E+01      7.43912940E-04     -1.54553822E-12        3.685227E+06
        -10.05000019     -28207.41015625     -2.08319817E+01      7.40051153E-04     -1.54302005E-12        3.679430E+06
        -10.02499962     -28205.35546875     -2.07031403E+01      7.36197864E-04     -1.53877724E-12        3.673614E+06
        -10.00000000     -28203.30273438     -2.05793781E+01      7.32357264E-04     -1.53368323E-12        3.667789E+06
         -9.97500038     -28201.24804688     -2.04788876E+01      7.28529412E-04     -1.53039137E-12        3.661951E+06
         -9.94999981     -28199.19335938     -2.03802395E+01      7.24705344E-04     -1.52864776E-12        3.656088E+06
         -9.92500019     -28197.14062500     -2.02744064E+01      7.20886223E-04     -1.52519805E-12        3.650199E+06
         -9.89999962     -28195.08789062     -2.01728859E+01      7.17079383E-04     -1.52158884E-12        3.644294E+06
         -9.87500000     -28193.03515625     -2.00665169E+01      7.13278307E-04     -1.51923732E-12        3.638361E+06
         -9.85000038     -28190.98046875     -1.99511070E+01      7.09483225E-04     -1.51582262E-12        3.632402E+06
         -9.82499981     -28188.92773438     -1.98357677E+01      7.05699204E-04     -1.51150685E-12        3.626427E+06
         -9.80000019     -28186.87500000     -1.97226582E+01      7.01925717E-04     -1.50790957E-12        3.620434E+06
         -9.77499962     -28184.82421875     -1.96138325E+01      6.98159740E-04     -1.50487955E-12        3.614428E+06
         -9.75000000     -28182.77148438     -1.95113258E+01      6.94401329E-04     -1.50181137E-12        3.608401E+06
         -9.72500038     -28180.72070312     -1.94149170E+01      6.90650661E-04     -1.49903473E-12        3.602357E+06
         -9.69999981     -28178.66992188     -1.93117275E+01      6.86906220E-04     -1.49693430E-12        3.596289E+06
         -9.67500019     -28176.61718750     -1.91958427E+01      6.83166087E-04     -1.49347472E-12        3.590196E+06
         -9.64999962     -28174.56640625     -1.90821667E+01      6.79438817E-04     -1.48934370E-12        3.584086E+06
         -9.62500000     -28172.51562500     -1.89807968E+01      6.75719406E-04     -1.48595936E-12        3.577954E+06
         -9.60000038     -28170.46484375     -1.88872547E+01      6.72009075E-04     -1.48318348E-12        3.571798E+06
         -9.57499981     -28168.41406250     -1.87770977E+01      6.68303517E-04     -1.48112338E-12        3.565610E+06
         -9.55000019     -28166.36328125     -1.86510563E+01      6.64603489E-04     -1.47621910E-12        3.559393E+06
         -9.52499962     -28164.31250000     -1.85511818E+01      6.60922378E-04     -1.47094207E-12        3.553167E+06
         -9.50000000     -28162.26367188     -1.84704819E+01      6.57248835E-04     -1.47022520E-12        3.546916E+06
         -9.47500038     -28160.21484375     -1.83675938E+01      6.53571333E-04     -1.46897978E-12        3.540629E+06
         -9.44999981     -28158.16601562     -1.82511559E+01      6.49903959E-04     -1.46464156E-12        3.534326E+06
         -9.42500019     -28156.11523438     -1.81425304E+01      6.46248169E-04     -1.46108679E-12        3.528010E+06
         -9.39999962     -28154.06640625     -1.80319405E+01      6.42598548E-04     -1.45816703E-12        3.521674E+06
         -9.37500000     -28152.01562500     -1.79195938E+01      6.38957368E-04     -1.45374348E-12        3.515319E+06
         -9.35000038     -28149.96875000     -1.78314610E+01      6.35329809E-04     -1.45064039E-12        3.508954E+06
         -9.32499981     -28147.91992188     -1.77407970E+01      6.31704228E-04     -1.44983233E-12        3.502557E+06
         -9.30000019     -28145.87109375     -1.76278648E+01      6.28080743E-04     -1.44624807E-12        3.496131E+06
         -9.27499962     -28143.82421875     -1.75205460E+01      6.24472974E-04     -1.44169258E-12        3.489697E+06
         -9.25000000     -28141.77734375     -1.74184990E+01      6.20872306E-04     -1.43900484E-12        3.483240E+06
         -9.22500038     -28139.72656250     -1.73145428E+01      6.17277983E-04     -1.43567797E-12        3.476758E+06
         -9.19999981     -28137.67968750     -1.72140312E+01      6.13693963E-04     -1.43231694E-12        3.470258E+06
         -9.17500019     -28135.63281250     -1.71168156E+01      6.10116462E-04     -1.42984409E-12        3.463740E+06
         -9.14999962     -28133.58789062     -1.70158615E+01      6.06544781E-04     -1.42708458E-12        3.457204E+06
         -9.12500000     -28131.54101562     -1.69164810E+01      6.02981076E-04     -1.42410541E-12        3.450654E+06
         -9.10000038     -28129.49609375     -1.68185711E+01      5.99424297E-04     -1.42159309E-12        3.444086E+06
         -9.07499981     -28127.44921875     -1.67053623E+01      5.95873164E-04     -1.41839925E-12        3.437498E+06
         -9.05000019     -28125.40234375     -1.65874710E+01      5.92332333E-04     -1.41364264E-12        3.430898E+06
         -9.02499962     -28123.35351562     -1.64879913E+01      5.88804949E-04     -1.40971642E-12        3.424291E+06
         -9.00000000     -28121.30859375     -1.64062233E+01      5.85283793E-04     -1.40804003E-12        3.417662E+06
         -8.97500038     -28119.26367188     -1.63205242E+01      5.81764791E-04     -1.40684231E-12        3.411004E+06
         -8.94999981     -28117.21875000     -1.62167301E+01      5.78249630E-04     -1.40358070E-12        3.404318E+06
         -8.92500019     -28115.17578125     -1.61129913E+01      5.74746926E-04     -1.39968267E-12        3.397616E+06
         -8.89999962     -28113.13281250     -1.60170345E+01      5.71251265E-04     -1.39727140E-12        3.390894E+06
         -8.87500000     -28111.08789062     -1.59146481E+01      5.67760610E-04     -1.39414793E-12        3.384145E+06
         -8.85000038     -28109.04296875     -1.58091927E+01      5.64280548E-04     -1.39033826E-12        3.377386E+06
         -8.82499981     -28106.99804688     -1.57083492E+01      5.60808985E-04     -1.38702580E-12        3.370612E+06
         -8.80000019     -28104.95312500     -1.56089420E+01      5.57345455E-04     -1.38377493E-12        3.363821E+06
         -8.77499962     -28102.91210938     -1.55124226E+01      5.53890131E-04     -1.38068972E-12        3.357008E+06
         -8.75000000     -28100.86914062     -1.54171982E+01      5.50442026E-04     -1.37739646E-12        3.350171E+06
         -8.72500038     -28098.82226562     -1.53188725E+01      5.47003176E-04     -1.37406005E-12        3.343313E+06
         -8.69999981     -28096.77929688     -1.52218809E+01      5.43571776E-04     -1.37124632E-12        3.336435E+06
         -8.67500019     -28094.73828125     -1.51261797E+01      5.40147012E-04     -1.36817023E-12        3.329540E+06
         -8.64999962     -28092.69726562     -1.50317545E+01      5.36730979E-04     -1.36514812E-12        3.322631E+06
         -8.62500000     -28090.65429688     -1.49328794E+01      5.33321290E-04     -1.36217220E-12        3.315702E+06
         -8.60000038     -28088.60742188     -1.48298330E+01      5.29920158E-04     -1.35803359E-12        3.308752E+06
         -8.57499981     -28086.57031250     -1.47392702E+01      5.26531134E-04     -1.35492225E-12        3.301788E+06
         -8.55000019     -28084.53125000     -1.46496763E+01      5.23145602E-04     -1.35314514E-12        3.294792E+06
         -8.52499962     -28082.49023438     -1.45503998E+01      5.19765483E-04     -1.34975570E-12        3.287768E+06
         -8.50000000     -28080.44531250     -1.44538078E+01      5.16396831E-04     -1.34612959E-12        3.280729E+06
         -8.47500038     -28078.40429688     -1.43570929E+01      5.13034873E-04     -1.34333473E-12        3.273666E+06
         -8.44999981     -28076.36132812     -1.42590418E+01      5.09680249E-04     -1.33965462E-12        3.266582E+06
         -8.42500019     -28074.32031250     -1.41635551E+01      5.06336626E-04     -1.33612967E-12        3.259485E+06
         -8.39999962     -28072.28125000     -1.40679560E+01      5.02999639E-04     -1.33317619E-12        3.252369E+06
         -8.37500000     -28070.24218750     -1.39748497E+01      4.99670801E-04     -1.32964267E-12        3.245241E+06
         -8.35000038     -28068.19921875     -1.38878508E+01      4.96351451E-04     -1.32705815E-12        3.238108E+06
         -8.32499981     -28066.16015625     -1.37992115E+01      4.93035594E-04     -1.32524569E-12        3.230951E+06
         -8.30000019     -28064.12304688     -1.36968393E+01      4.89725266E-04     -1.32195220E-12        3.223778E+06
         -8.27499962     -28062.08593750     -1.35910873E+01      4.86425852E-04     -1.31694254E-12        3.216594E+06
         -8.25000000     -28060.04296875     -1.35024242E+01      4.83140582E-04     -1.31330071E-12        3.209401E+06
         -8.22500038     -28058.00390625     -1.34193707E+01      4.79859416E-04     -1.31174943E-12        3.202182E+06
         -8.19999981     -28055.96679688     -1.33253670E+01      4.76581918E-04     -1.30888041E-12        3.194936E+06
         -8.17500019     -28053.92968750     -1.32336693E+01      4.73315042E-04     -1.30564093E-12        3.187681E+06
         -8.14999962     -28051.89062500     -1.31429558E+01      4.70053783E-04     -1.30314477E-12        3.180407E+06
         -8.12500000     -28049.84960938     -1.30509825E+01      4.66799393E-04     -1.29986527E-12        3.173117E+06
         -8.10000038     -28047.81250000     -1.29634123E+01      4.63554490E-04     -1.29688588E-12        3.165816E+06
         -8.07499981     -28045.77343750     -1.28678064E+01      4.60315030E-04     -1.29388102E-12        3.158497E+06
         -8.05000019     -28043.73632812     -1.27645807E+01      4.57085116E-04     -1.28990232E-12        3.151175E+06
         -8.02499962     -28041.69921875     -1.26682091E+01      4.53865534E-04     -1.28596732E-12        3.143856E+06
         -8.00000000     -28039.66406250     -1.25848446E+01      4.50655323E-04     -1.28297449E-12        3.136532E+06
         -7.97499990     -28037.62890625     -1.25043058E+01      4.47450730E-04     -1.28084956E-12        3.129192E+06
         -7.94999981     -28035.59179688     -1.24138565E+01      4.44251142E-04     -1.27859648E-12        3.121833E+06
         -7.92500019     -28033.55273438     -1.23171444E+01      4.41057811E-04     -1.27466353E-12        3.114451E+06
         -7.90000010     -28031.51757812     -1.22267904E+01      4.37877839E-04     -1.27065144E-12        3.107059E+06
         -7.87500000     -28029.48437500     -1.21413994E+01      4.34704620E-04     -1.26824224E-12        3.099646E+06
         -7.84999990     -28027.44921875     -1.20547981E+01      4.31536697E-04     -1.26537886E-12        3.092210E+06
         -7.82499981     -28025.41406250     -1.19680567E+01      4.28377767E-04     -1.26253001E-12        3.084765E+06
         -7.80000019     -28023.37695312     -1.18772039E+01      4.25224134E-04     -1.25964278E-12        3.077304E+06
         -7.77500010     -28021.34375000     -1.17824945E+01      4.22079611E-04     -1.25564110E-12        3.069838E+06
         -7.75000000     -28019.31054688     -1.16879168E+01      4.18945972E-04     -1.25155279E-12        3.062372E+06
         -7.72499990     -28017.27148438     -1.15954227E+01      4.15821909E-04     -1.24713738E-12        3.054899E+06
         -7.69999981     -28015.23828125     -1.15133686E+01      4.12710302E-04     -1.24335470E-12        3.047432E+06
         -7.67500019     -28013.20312500     -1.14318848E+01      4.09605185E-04     -1.24161727E-12        3.039953E+06
         -7.65000010     -28011.16601562     -1.13447056E+01      4.06502309E-04     -1.23806553E-12        3.032450E+06
         -7.62500000     -28009.13671875     -1.12638121E+01      4.03414859E-04     -1.23470244E-12        3.024949E+06
         -7.59999990     -28007.10546875     -1.11673241E+01      4.00328921E-04     -1.23186227E-12        3.017414E+06
         -7.57499981     -28005.07031250     -1.10668907E+01      3.97255586E-04     -1.22551188E-12        3.009872E+06
         -7.55000019     -28003.03710938     -1.09930954E+01      3.94201314E-04     -1.22221742E-12        3.002340E+06
         -7.52500010     -28001.00390625     -1.09186840E+01      3.91144626E-04     -1.22131970E-12        2.994770E+06
         -7.50000000     -27998.96875000     -1.08302269E+01      3.88094806E-04     -1.21779279E-12        2.987186E+06
         -7.47499990     -27996.93554688     -1.07393131E+01      3.85055697E-04     -1.21354435E-12        2.979597E+06
         -7.44999981     -27994.90429688     -1.06468782E+01      3.82027123E-04     -1.20971950E-12        2.972005E+06
         -7.42500019     -27992.87500000     -1.05596437E+01      3.79007164E-04     -1.20543376E-12        2.964404E+06
         -7.40000010     -27990.84179688     -1.04846487E+01      3.75999982E-04     -1.20192940E-12        2.956802E+06
         -7.37500000     -27988.81054688     -1.04043636E+01      3.72997602E-04     -1.20015770E-12        2.949181E+06
         -7.34999990     -27986.78125000     -1.03104696E+01      3.69999296E-04     -1.19619137E-12        2.941546E+06
         -7.32499981     -27984.75000000     -1.02232447E+01      3.67016648E-04     -1.19120382E-12        2.933923E+06
         -7.30000019     -27982.71875000     -1.01476641E+01      3.64043313E-04     -1.18832342E-12        2.926295E+06
         -7.27500010     -27980.68750000     -1.00679083E+01      3.61075130E-04     -1.18583149E-12        2.918652E+06
         -7.25000000     -27978.65820312     -9.97443295E+00      3.58114223E-04     -1.18184499E-12        2.911000E+06
         -7.22499990     -27976.62890625     -9.88515759E+00      3.55165947E-04     -1.17594248E-12        2.903350E+06
         -7.19999981     -27974.59570312     -9.81224060E+00      3.52234521E-04     -1.17302229E-12        2.895714E+06
         -7.17500019     -27972.56640625     -9.73086929E+00      3.49300972E-04     -1.17124767E-12        2.888046E+06
         -7.15000010     -27970.53710938     -9.64168835E+00      3.46378336E-04     -1.16613847E-12        2.880380E+06
         -7.12500000     -27968.50781250     -9.56480694E+00      3.43470310E-04     -1.16240795E-12        2.872728E+06
         -7.09999990     -27966.47656250     -9.48767376E+00      3.40566388E-04     -1.15975805E-12        2.865063E+06
         -7.07499981     -27964.44531250     -9.40213394E+00      3.37671576E-04     -1.15569663E-12        2.857396E+06
         -7.05000019     -27962.41992188     -9.31882572E+00      3.34787939E-04     -1.15163814E-12        2.849738E+06
         -7.02500010     -27960.39257812     -9.23761559E+00      3.31913441E-04     -1.14801755E-12        2.842085E+06
         -7.00000000     -27958.36132812     -9.16112900E+00      3.29047936E-04     -1.14400590E-12        2.834439E+06
         -6.97499990     -27956.33398438     -9.08640766E+00      3.26193462E-04     -1.14179662E-12        2.826805E+06
         -6.94999981     -27954.30468750     -9.00048447E+00      3.23339103E-04     -1.13840415E-12        2.819153E+06
         -6.92500019     -27952.28125000     -8.91300774E+00      3.20501451E-04     -1.13250923E-12        2.811525E+06
         -6.90000010     -27950.25390625     -8.83528137E+00      3.17676575E-04     -1.12846538E-12        2.803911E+06
         -6.87500000     -27948.22460938     -8.76059914E+00      3.14859208E-04     -1.12506337E-12        2.796295E+06
         -6.84999990     -27946.20117188     -8.68271065E+00      3.12051328E-04     -1.12127972E-12        2.788672E+06
         -6.82499981     -27944.16992188     -8.60243225E+00      3.09252879E-04     -1.11676879E-12        2.781041E+06
         -6.80000019     -27942.14453125     -8.52346897E+00      3.06467526E-04     -1.11232204E-12        2.773413E+06
         -6.77500010     -27940.11718750     -8.44456100E+00      3.03691311E-04     -1.10832784E-12        2.765785E+06
         -6.75000000     -27938.09179688     -8.36692524E+00      3.00925924E-04     -1.10380292E-12        2.758164E+06
         -6.72499990     -27936.06640625     -8.28932190E+00      2.98172352E-04     -1.09961747E-12        2.750555E+06
         -6.69999981     -27934.04296875     -8.20953083E+00      2.95427919E-04     -1.09501850E-12        2.742955E+06
         -6.67500019     -27932.01757812     -8.13664532E+00      2.92697281E-04     -1.09036836E-12        2.735375E+06
         -6.65000010     -27929.99218750     -8.06856155E+00      2.89976131E-04     -1.08742149E-12        2.727808E+06
         -6.62500000     -27927.96484375     -7.99202776E+00      2.87260307E-04     -1.08414070E-12        2.720244E+06
         -6.59999990     -27925.93750000     -7.90709352E+00      2.84555485E-04     -1.07881716E-12        2.712698E+06
         -6.57499981     -27923.91406250     -7.82790470E+00      2.81866232E-04     -1.07340645E-12        2.705179E+06
         -6.55000019     -27921.89062500     -7.75357008E+00      2.79188505E-04     -1.06917318E-12        2.697673E+06
         -6.52500010     -27919.86718750     -7.67982340E+00      2.76520441E-04     -1.06459904E-12        2.690174E+06
         -6.50000000     -27917.84179688     -7.60912609E+00      2.73865560E-04     -1.06069840E-12        2.682686E+06
         -6.47499990     -27915.82031250     -7.53384018E+00      2.71217054E-04     -1.05695856E-12        2.675194E+06
         -6.44999981     -27913.79882812     -7.45727873E+00      2.68580829E-04     -1.05165399E-12        2.667713E+06
         -6.42500019     -27911.77343750     -7.38961649E+00      2.65958806E-04     -1.04742376E-12        2.660251E+06
         -6.40000010     -27909.75000000     -7.31501865E+00      2.63343798E-04     -1.04455908E-12        2.652789E+06
         -6.37500000     -27907.72851562     -7.23414040E+00      2.60736095E-04     -1.03819405E-12        2.645322E+06
         -6.34999990     -27905.70703125     -7.16525364E+00      2.58152751E-04     -1.03352093E-12        2.637896E+06
         -6.32499981     -27903.68164062     -7.09667540E+00      2.55568681E-04     -1.03019492E-12        2.630436E+06
         -6.30000019     -27901.66015625     -7.02588367E+00      2.53001781E-04     -1.02530072E-12        2.622993E+06
         -6.27500010     -27899.63671875     -6.95330954E+00      2.50442274E-04     -1.02166355E-12        2.615540E+06
         -6.25000000     -27897.61132812     -6.87789726E+00      2.47893535E-04     -1.01641980E-12        2.608088E+06
         -6.22499990     -27895.59179688     -6.80662727E+00      2.45360192E-04     -1.01197598E-12        2.600650E+06
         -6.19999981     -27893.57421875     -6.73718643E+00      2.42833761E-04     -1.00739176E-12        2.593199E+06
         -6.17500019     -27891.55078125     -6.67032099E+00      2.40323250E-04     -1.00307349E-12        2.585759E+06
         -6.15000010     -27889.53125000     -6.60092354E+00      2.37818516E-04     -9.99196277E-13        2.578295E+06
         -6.12500000     -27887.50781250     -6.52721930E+00      2.35327316E-04     -9.93532188E-13        2.570829E+06
         -6.09999990     -27885.48437500     -6.45583296E+00      2.32850885E-04     -9.87651367E-13        2.563359E+06
         -6.07499981     -27883.46875000     -6.38741636E+00      2.30389080E-04     -9.82394830E-13        2.555884E+06
         -6.05000019     -27881.44921875     -6.32026434E+00      2.27938974E-04     -9.77599295E-13        2.548400E+06
         -6.02500010     -27879.42578125     -6.25624084E+00      2.25501150E-04     -9.72950344E-13        2.540909E+06
         -6.00000000     -27877.40625000     -6.19061565E+00      2.23074283E-04     -9.68861493E-13        2.533410E+06
         -5.97499990     -27875.38867188     -6.11548185E+00      2.20656919E-04     -9.63328592E-13        2.525900E+06
         -5.94999981     -27873.36914062     -6.04383707E+00      2.18257643E-04     -9.56475784E-13        2.518408E+06
         -5.92500019     -27871.35156250     -5.98141718E+00      2.15874563E-04     -9.51920292E-13        2.510932E+06
         -5.90000010     -27869.33398438     -5.91821575E+00      2.13498162E-04     -9.47793927E-13        2.503441E+06
         -5.87500000     -27867.30859375     -5.85400772E+00      2.11135630E-04     -9.43064528E-13        2.495956E+06
         -5.84999990     -27865.29296875     -5.78644371E+00      2.08782920E-04     -9.38568992E-13        2.488463E+06
         -5.82499981     -27863.27539062     -5.71684694E+00      2.06442841E-04     -9.32577583E-13        2.480972E+06
         -5.80000019     -27861.25781250     -5.65287542E+00      2.04120035E-04     -9.27379484E-13        2.473503E+06
         -5.77500010     -27859.24023438     -5.58931112E+00      2.01806048E-04     -9.22948024E-13        2.466032E+06
         -5.75000000     -27857.22265625     -5.52430916E+00      1.99505346E-04     -9.17639120E-13        2.458575E+06
         -5.72499990     -27855.20312500     -5.46013212E+00      1.97217902E-04     -9.12647453E-13        2.451138E+06
         -5.69999981     -27853.18750000     -5.39646769E+00      1.94942171E-04     -9.07433308E-13        2.443718E+06
         -5.67500019     -27851.16992188     -5.33724737E+00      1.92680774E-04     -9.02529624E-13        2.436322E+06
         -5.65000010     -27849.15429688     -5.27647543E+00      1.90429608E-04     -8.98704505E-13        2.428936E+06
         -5.62500000     -27847.13671875     -5.20966053E+00      1.88187347E-04     -8.93470682E-13        2.421562E+06
         -5.59999990     -27845.11914062     -5.14183855E+00      1.85962272E-04     -8.87162848E-13        2.414224E+06
         -5.57499981     -27843.10546875     -5.07933664E+00      1.83751574E-04     -8.81207596E-13        2.406919E+06
         -5.55000019     -27841.08984375     -5.02429485E+00      1.81556257E-04     -8.76843682E-13        2.399650E+06
         -5.52500010     -27839.07226562     -4.96633482E+00      1.79367489E-04     -8.73251937E-13        2.392392E+06
         -5.50000000     -27837.05468750     -4.90176010E+00      1.77190072E-04     -8.67247517E-13        2.385156E+06
         -5.47499990     -27835.03906250     -4.84213257E+00      1.75031237E-04     -8.60587209E-13        2.377951E+06
