        #height (Mm)       gravity (cm/s^2)          dP/dz                         density (g/cm^3)        dRho/dz                sound speed (cm/s)
        -21.14999962     -29141.21093750     -9.43450851E+01      3.24045098E-03     -2.85546933E-12        5.755977E+06
        -21.12500000     -29139.05859375     -9.41074448E+01      3.23331542E-03     -2.85288178E-12        5.751732E+06
        -21.10000038     -29136.90625000     -9.38699265E+01      3.22618661E-03     -2.85059151E-12        5.747484E+06
        -21.07500076     -29134.75390625     -9.36820679E+01      3.21906246E-03     -2.84951576E-12        5.743234E+06
        -21.04999924     -29132.60156250     -9.35185471E+01      3.21193901E-03     -2.84749828E-12        5.738982E+06
        -21.02499962     -29130.44921875     -9.32559967E+01      3.20482510E-03     -2.84363678E-12        5.734728E+06
        -21.00000000     -29128.29882812     -9.29938736E+01      3.19772074E-03     -2.84099263E-12        5.730476E+06
        -20.97500038     -29126.14843750     -9.28299026E+01      3.19062010E-03     -2.83985682E-12        5.726220E+06
        -20.95000076     -29123.99804688     -9.26408844E+01      3.18352156E-03     -2.83839640E-12        5.721963E+06
        -20.92499924     -29121.84765625     -9.24514160E+01      3.17642814E-03     -2.83570715E-12        5.717702E+06
        -20.89999962     -29119.69726562     -9.22374344E+01      3.16934288E-03     -2.83361334E-12        5.713438E+06
        -20.87500000     -29117.54687500     -9.19993362E+01      3.16226017E-03     -2.83240770E-12        5.709170E+06
        -20.85000038     -29115.39843750     -9.17612991E+01      3.15518095E-03     -2.82907595E-12        5.704902E+06
        -20.82500076     -29113.24804688     -9.15236053E+01      3.14811477E-03     -2.82454138E-12        5.700633E+06
        -20.79999924     -29111.09765625     -9.13099289E+01      3.14105814E-03     -2.82090605E-12        5.696364E+06
        -20.77499962     -29108.94921875     -9.10722275E+01      3.13401013E-03     -2.81905987E-12        5.692093E+06
        -20.75000000     -29106.79882812     -9.08347855E+01      3.12696304E-03     -2.81659743E-12        5.687818E+06
        -20.72500038     -29104.65039062     -9.06447296E+01      3.11992713E-03     -2.81323532E-12        5.683541E+06
        -20.70000076     -29102.50195312     -9.04541550E+01      3.11289681E-03     -2.81105239E-12        5.679260E+06
        -20.67499924     -29100.35546875     -9.02633133E+01      3.10587185E-03     -2.81033638E-12        5.674974E+06
        -20.64999962     -29098.20703125     -9.01187897E+01      3.09884525E-03     -2.80841127E-12        5.670684E+06
        -20.62500000     -29096.05859375     -8.99501343E+01      3.09182983E-03     -2.80647619E-12        5.666390E+06
        -20.60000038     -29093.91210938     -8.97347260E+01      3.08481278E-03     -2.80540218E-12        5.662091E+06
        -20.57500076     -29091.76562500     -8.94730835E+01      3.07780295E-03     -2.80284303E-12        5.657790E+06
        -20.54999924     -29089.61914062     -8.91889572E+01      3.07079870E-03     -2.79822172E-12        5.653486E+06
        -20.52499962     -29087.47070312     -8.89284744E+01      3.06381169E-03     -2.79243924E-12        5.649185E+06
        -20.50000000     -29085.32421875     -8.87367859E+01      3.05683631E-03     -2.78987163E-12        5.644882E+06
        -20.47500038     -29083.17773438     -8.85902023E+01      3.04986234E-03     -2.78874211E-12        5.640574E+06
        -20.45000076     -29081.03125000     -8.84202423E+01      3.04289279E-03     -2.78701216E-12        5.636262E+06
        -20.42499924     -29078.88671875     -8.82272263E+01      3.03592742E-03     -2.78555456E-12        5.631944E+06
        -20.39999962     -29076.74023438     -8.80113297E+01      3.02896486E-03     -2.78378817E-12        5.627621E+06
        -20.37500000     -29074.59570312     -8.77506638E+01      3.02200834E-03     -2.78056506E-12        5.623295E+06
        -20.35000038     -29072.44921875     -8.74905548E+01      3.01506207E-03     -2.77647393E-12        5.618968E+06
        -20.32500076     -29070.30468750     -8.72974167E+01      3.00812605E-03     -2.77266881E-12        5.614642E+06
